Date,Year,Month,Day_Number,Day_Name,Close,Open,High,Low
11/2/23,2023,11,2,Thursday,14919.55,14856.95,14930.76,14792.81
11/1/23,2023,11,1,Wednesday,14664.91,14453.68,14677.86,14441.89
10/31/23,2023,10,31,Tuesday,14409.78,14340.86,14420.44,14232.4
10/30/23,2023,10,30,Monday,14335.51,14283.98,14388.2,14225.86
10/27/23,2023,10,27,Friday,14180.42,14245.75,14321.04,14130.37
10/26/23,2023,10,26,Thursday,14109.57,14314.01,14372.51,14058.33
10/25/23,2023,10,25,Wednesday,14381.64,14642.08,14643.69,14362.24
10/24/23,2023,10,24,Tuesday,14745.85,14678.41,14774.16,14610.33
10/23/23,2023,10,23,Monday,14604.85,14514.11,14746.37,14419.06
10/20/23,2023,10,20,Friday,14560.88,14752.59,14781.22,14552.12
10/19/23,2023,10,19,Thursday,14783.13,14981.13,15023.91,14749.3
10/18/23,2023,10,18,Wednesday,14909.26,15022.28,15103.87,14865.81
10/17/23,2023,10,17,Tuesday,15122.01,15009.26,15187.06,14932.77
10/16/23,2023,10,16,Monday,15172.73,15054.48,15209.5,15047.27
10/13/23,2023,10,13,Friday,14995.12,15225.73,15232.37,14943.42
10/12/23,2023,10,12,Thursday,15184.1,15264.11,15333.98,15090.69
10/11/23,2023,10,11,Wednesday,15241.12,15194.53,15248.22,15119.62
10/10/23,2023,10,10,Tuesday,15131.52,15074.04,15241.94,15050.54
10/9/23,2023,10,9,Monday,15047.15,14871.57,15070.64,14816.32
10/6/23,2023,10,6,Friday,14973.24,14622.23,15021.38,14575.95
10/5/23,2023,10,5,Thursday,14723.22,14769.55,14784.69,14584.39
10/4/23,2023,10,4,Wednesday,14776.25,14613.23,14803.04,14592.56
10/3/23,2023,10,3,Tuesday,14565.62,14744.05,14819.87,14504.14
10/2/23,2023,10,2,Monday,14837.57,14717.9,14892.18,14701.52
9/29/23,2023,9,29,Friday,14715.24,14853.35,14901.85,14664.78
9/28/23,2023,9,28,Thursday,14702.77,14530.96,14787.58,14510.17
9/27/23,2023,9,27,Wednesday,14580.16,14600.14,14657.21,14432.6
9/26/23,2023,9,26,Tuesday,14545.83,14668.45,14678.48,14505.68
9/25/23,2023,9,25,Monday,14768.9,14662.69,14771.12,14615.45
9/22/23,2023,9,22,Friday,14701.1,14756.62,14855.92,14686.84
9/21/23,2023,9,21,Thursday,14694.24,14813.48,14849.25,14691.69
9/20/23,2023,9,20,Wednesday,14969.92,15225.34,15245.19,14967.6
9/19/23,2023,9,19,Tuesday,15191.23,15152.53,15219.92,15069.41
9/18/23,2023,9,18,Monday,15225.37,15161.17,15268.96,15155.46
9/15/23,2023,9,15,Friday,15202.4,15425.95,15435.45,15173.71
9/14/23,2023,9,14,Thursday,15473.89,15433.01,15512.82,15337.18
9/13/23,2023,9,13,Wednesday,15348.53,15293.27,15414.61,15256.6
9/12/23,2023,9,12,Tuesday,15289.74,15390.59,15447.85,15278.88
9/11/23,2023,9,11,Monday,15461.87,15409.77,15482.84,15328.35
9/8/23,2023,9,8,Friday,15280.23,15265.57,15374.22,15244.06
9/7/23,2023,9,7,Thursday,15258.52,15174.22,15288.2,15138.73
9/6/23,2023,9,6,Wednesday,15371.44,15467.32,15487,15289.48
9/5/23,2023,9,5,Tuesday,15508.24,15460.52,15556.85,15419.96
9/1/23,2023,9,1,Friday,15490.86,15600.95,15618.85,15429.36
8/31/23,2023,8,31,Thursday,15501.07,15475.43,15575.01,15466.41
8/30/23,2023,8,30,Wednesday,15462.43,15386.67,15484.83,15341.94
8/29/23,2023,8,29,Tuesday,15376.55,15043.02,15391.56,15034.54
8/28/23,2023,8,28,Monday,15052.46,15035.48,15086.23,14948.92
8/25/23,2023,8,25,Friday,14941.83,14858.93,15001.29,14715.36
8/24/23,2023,8,24,Thursday,14816.44,15278.93,15279.24,14814.83
8/23/23,2023,8,23,Wednesday,15148.06,14947.58,15188.86,14947.58
8/22/23,2023,8,22,Tuesday,14908.96,15035.07,15037.79,14883.98
8/21/23,2023,8,21,Monday,14936.69,14762.01,14958.87,14739.37
8/18/23,2023,8,18,Friday,14694.84,14589.71,14744.57,14557.83
8/17/23,2023,8,17,Thursday,14715.81,14943.34,14949.58,14698.29
8/16/23,2023,8,16,Wednesday,14876.47,15021.63,15077.05,14874.02
8/15/23,2023,8,15,Tuesday,15037.65,15172.08,15192.88,15014.36
8/14/23,2023,8,14,Monday,15205.59,14988.42,15206.26,14972.01
8/11/23,2023,8,11,Friday,15028.07,15010.52,15102.53,14973.67
8/10/23,2023,8,10,Thursday,15128.84,15217.29,15366.29,15072.49
8/9/23,2023,8,9,Wednesday,15101.71,15286.99,15288.76,15077.91
8/8/23,2023,8,8,Tuesday,15273.05,15279.41,15295.8,15148.25
8/7/23,2023,8,7,Monday,15407.85,15355.62,15410.85,15258.92
8/4/23,2023,8,4,Friday,15274.92,15420.74,15523.31,15258.69
8/3/23,2023,8,3,Thursday,15353.54,15287.77,15436.59,15270.72
8/2/23,2023,8,2,Wednesday,15370.74,15561.15,15561.36,15321.44
8/1/23,2023,8,1,Tuesday,15718.01,15696.98,15748.43,15636.57
7/31/23,2023,7,31,Monday,15757,15774.3,15803.55,15702.74
7/28/23,2023,7,28,Friday,15750.93,15630.17,15788.48,15617.75
7/27/23,2023,7,27,Thursday,15464.93,15734.03,15795.51,15416.05
7/26/23,2023,7,26,Wednesday,15499.26,15514.04,15571.16,15411.91
7/25/23,2023,7,25,Tuesday,15561.42,15483.06,15622.69,15482.04
7/24/23,2023,7,24,Monday,15448.02,15475.15,15504.67,15374.66
7/21/23,2023,7,21,Friday,15425.67,15554.95,15600.54,15410.57
7/20/23,2023,7,20,Thursday,15466.09,15717.67,15771.84,15429.87
7/19/23,2023,7,19,Wednesday,15826.35,15888.16,15932.05,15781.96
7/18/23,2023,7,18,Tuesday,15841.35,15671.72,15895.68,15607.71
7/17/23,2023,7,17,Monday,15713.28,15608.28,15745.67,15576.51
7/14/23,2023,7,14,Friday,15565.6,15610,15720.06,15531
7/13/23,2023,7,13,Thursday,15571.98,15432.48,15602.74,15420.71
7/12/23,2023,7,12,Wednesday,15307.23,15279.35,15364.09,15209.71
7/11/23,2023,7,11,Tuesday,15119.06,15068.13,15135.29,14974.16
7/10/23,2023,7,10,Monday,15045.64,15031.95,15066.44,14924.64
7/7/23,2023,7,7,Friday,15036.85,15070.5,15210.63,15032.56
7/6/23,2023,7,6,Thursday,15089.45,15054.1,15106.45,14969.14
7/5/23,2023,7,5,Wednesday,15203.78,15165.36,15275.18,15162.66
7/3/23,2023,7,3,Monday,15208.69,15190.54,15232.96,15153.6
6/30/23,2023,6,30,Friday,15179.21,15085.24,15213.75,15081.57
6/29/23,2023,6,29,Thursday,14939.95,14965.55,14986.89,14876.94
6/28/23,2023,6,28,Wednesday,14964.57,14876.25,15051.08,14865.81
6/27/23,2023,6,27,Tuesday,14945.91,14751.57,14972.31,14726.75
6/26/23,2023,6,26,Monday,14689.02,14866.66,14982.82,14687.02
6/23/23,2023,6,23,Friday,14891.48,14879.23,14983.73,14821.81
6/22/23,2023,6,22,Thursday,15042.32,14797.89,15044.22,14794.95
6/21/23,2023,6,21,Wednesday,14867.45,15019.01,15038.9,14826.02
6/20/23,2023,6,20,Tuesday,15070.15,15036.48,15127.42,14946.72
6/16/23,2023,6,16,Friday,15083.92,15272.65,15284.65,15073.45
6/15/23,2023,6,15,Thursday,15185.48,14949.7,15246.62,14930.12
6/14/23,2023,6,14,Wednesday,15005.69,14894.1,15017.1,14784.62
6/13/23,2023,6,13,Tuesday,14900.85,14911.26,14931.83,14770.14
6/12/23,2023,6,12,Monday,14784.3,14617.35,14789.6,14571.36
6/9/23,2023,6,9,Friday,14528.36,14574.24,14672.85,14487.48
6/8/23,2023,6,8,Thursday,14484.54,14319.24,14503.31,14314.69
6/7/23,2023,6,7,Wednesday,14303.29,14573.27,14647.91,14283.88
